Model Number,Item Name,Description,UPC Code,Estimated Lead Time (Days),List Price,My Price,Future Price Effective Date,Future List Price,Future My Price,Note on Estimated Lead Time,,,,,,,,
L-POEI-BL,POE INJECTOR 120V,,784276297103             ,10,80.00,48.00,2022-07-10,85.00,51.00,Ships in 2-3 weeks,,,,,,,,
LR-3B-H-SW,CAR VISOR TRANSMITTER,CAR VISOR TRANSMITTER-LR-3B-H-SW,027557774680             ,40,52.00,26.00,2022-07-10,57.00,28.50,Ships in 8-9 weeks,,,,,,,,
L-REPPRO-BL,LUTRON WIRELESS REPEATER,,784276240239             ,15,199.00,119.40,2022-07-10,229.00,137.40, Estimated to ship in 3-5 wks,,,,,,,,
LRF2-DCRB-WH,DAYLIGHT SENSOR 1-WAY,DAYLIGHT SENSOR 1-WAY-LRF2-DCRB-WH,027557798440             ,80,134.00,67.00,2022-07-10,150.00,75.00,Ships in 16-17 weeks,,,,,,,,
LRF2-OCR2B-P-WH,LUTRON OCCUPANCY SENSOR,LUTRON OCCUPANCY SENSOR-LRF2-OCR2B-P-WH,027557831970             ,80,95.00,47.50,2022-07-10,105.00,52.50, Estimated to ship in 16-17 wks,,,,,,,,
LRF2-OHLB-P-WH,LUTRON HALL OCC SENSOR,LUTRON HALL OCC SENSOR-LRF2-OHLB-P-WH,027557823609             ,80,95.00,47.50,2022-07-10,105.00,52.50, Estimated to ship in 16-24 wks,,,,,,,,
LRF2-OKLB-P-WH,LUTRON CORNER OCC SENSOR,LUTRON CORNER OCC SENSOR-LRF2-OKLB-P-WH,027557823586             ,80,95.00,47.50,2022-07-10,105.00,52.50, Estimated to ship in 16-17 wks,,,,,,,,
LRF2-OWLB-P-WH,LUTRON WALL OCC SENSOR,LUTRON WALL OCC SENSOR-LRF2-OWLB-P-WH,027557823562             ,80,95.00,47.50,2022-07-10,105.00,52.50, Estimated to ship in 16-24 wks,,,,,,,,
LRF2-VCR2B-P-WH,LUTRON VACANCY SENSOR,LUTRON VACANCY SENSOR-LRF2-VCR2B-P-WH,027557831987             ,80,95.00,47.50,2022-07-10,105.00,52.50, Estimated to ship in 16-24 wks,,,,,,,,
LRF2-VHLB-P-WH,LUTRON HALL VAC SENSOR,LUTRON HALL VAC SENSOR-LRF2-VHLB-P-WH,027557823616             ,80,95.00,47.50,2022-07-10,105.00,52.50,Ships in 16-17 weeks,,,,,,,,
LRF2-VKLB-P-WH,LUTRON CORNER VAC SENSOR,LUTRON CORNER VAC SENSOR-LRF2-VKLB-P-WH,027557823593             ,80,95.00,47.50,2022-07-10,105.00,52.50, Estimated to ship in 16-24 wks,,,,,,,,
LRF2-VWLB-P-WH,LUTRON WALL VAC SENSOR,LUTRON WALL VAC SENSOR-LRF2-VWLB-P-WH,027557823579             ,80,95.00,47.50,2022-07-10,105.00,52.50,Ships in 16-17 weeks,,,,,,,,
LRF-ARM-WH,RPS SENSOR ARMATURE,RPS SENSOR ARMATURE-LRF-ARM-WH,784276092470             ,16,67.00,33.50,2022-07-10,74.00,37.00,Ships in 4-5 weeks,,,,,,,,
LR-HVAC-1-WH,HVAC CONTROL SW,,027557800082             ,10,365.00,200.75,2022-07-10,395.00,217.25,Ships in 2-3 weeks,,,,,,,,
LR-TEMP-FLSH,TEMPERATURE SENSOR,TEMPERATURE SENSOR-LR-TEMP-FLSH,784276024617             ,2,56.00,28.00,2022-07-10,61.00,30.50,Ships in 1-2 weeks,,,,,,,,
L-SMNT-WH,WIRELESS PROCESSOR SHELF MOUNT,,784276297127             ,10,35.00,21.00,2022-07-10,40.00,24.00,Ships in 2-3 weeks,,,,,,,,
LTEA4U1UKL-AV120,UL LISTED 1% 40W KLCAN 12.0 V,UL LISTED A SERIES LED -LTEA4U1UKL-AV120,784276075503             ,75,160.00,80.00,2022-07-10,195.00,97.50, Estimated to ship in 15-23 wks,,,,,,,,
LTEA4U1UKL-CV240,UL LISTED 1% 40W KLCAN 24.0 V,UL LISTED A SERIES LED -LTEA4U1UKL-CV240,784276075497             ,75,160.00,80.00,2022-07-10,195.00,97.50, Estimated to ship in 15-23 wks,,,,,,,,
LTR-15-TR-AL,NEW ARCH 15A RECP TMP RST,ALMOND,784276154178             ,15,43.00,21.50,2022-07-10,46.00,23.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-TR-BE,NEW ARCH 15A RECP TMP RST,BEIGE,784276154239             ,15,43.00,21.50,2022-07-10,46.00,23.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-TR-BL,NEW ARCH 15A RECP TMP RST,BLACK,784276154222             ,15,43.00,21.50,2022-07-10,46.00,23.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-TR-BR,NEW ARCH 15A RECP TMP RST,BROWN,784276154208             ,15,43.00,21.50,2022-07-10,46.00,23.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-TR-CBL,NEW ARCH 15A RECP TMP RST,CBL GLS,784276239899             ,15,43.00,21.50,2022-07-10,46.00,23.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-TR-CWH,NEW ARCH 15A RECP TMP RST,CWH GLS,784276154260             ,20,43.00,21.50,2022-07-10,46.00,23.00,Ships in 4-5 weeks,,,,,,,,
LTR-15-TR-GR,NEW ARCH 15A RECP TMP RST,GRAY,784276154215             ,15,43.00,21.50,2022-07-10,46.00,23.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-TR-IV,NEW ARCH 15A RECP TMP RST,IVORY,784276154192             ,15,43.00,21.50,2022-07-10,46.00,23.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-TR-LA,NEW ARCH 15A RECP TMP RST,LTALMD,784276154185             ,15,43.00,21.50,2022-07-10,46.00,23.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-TR-SI,NEW ARCH 15A RECP TMP RST,SIENNA,784276154253             ,15,43.00,21.50,2022-07-10,46.00,23.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-TR-TP,NEW ARCH 15A RECP TMP RST,TAUPE,784276154246             ,15,43.00,21.50,2022-07-10,46.00,23.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-TR-WH,DUPLEX 15A TR RECEPTACLE,WHITE,784276154161             ,15,43.00,21.50,2022-07-10,46.00,23.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-UBTR-AL,NEW ARCH 15A RECP USB TR,ALMOND,784276154390             ,15,147.00,73.50,2022-07-10,160.00,80.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-UBTR-BE,NEW ARCH 15A RECP USB TR,BEIGE,784276154451             ,15,147.00,73.50,2022-07-10,160.00,80.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-UBTR-BL,NEW ARCH 15A RECP USB TR,BLACK,784276154444             ,15,147.00,73.50,2022-07-10,160.00,80.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-UBTR-BR,NEW ARCH 15A RECP USB TR,BROWN,784276154420             ,15,147.00,73.50,2022-07-10,160.00,80.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-UBTR-CBL,NEW ARCH 15A RECP USB TR,CBL GLS,784276239936             ,15,147.00,73.50,2022-07-10,160.00,80.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-UBTR-CWH,NEW ARCH 15A RECP USB TR,CWH GLS,784276154482             ,15,147.00,73.50,2022-07-10,160.00,80.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-UBTR-GR,NEW ARCH 15A RECP USB TR,GRAY,784276154437             ,15,147.00,73.50,2022-07-10,160.00,80.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-UBTR-IV,NEW ARCH 15A RECP USB TR,IVORY,784276154413             ,15,147.00,73.50,2022-07-10,160.00,80.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-UBTR-LA,NEW ARCH 15A RECP USB TR,LTALMD,784276154406             ,25,147.00,73.50,2022-07-10,160.00,80.00,Ships in 5-6 weeks,,,,,,,,
LTR-15-UBTR-SI,NEW ARCH 15A RECP USB TR,SIENNA,784276154475             ,15,147.00,73.50,2022-07-10,160.00,80.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-UBTR-TP,NEW ARCH 15A RECP USB TR,TAUPE,784276154468             ,15,147.00,73.50,2022-07-10,160.00,80.00,Ships in 3-4 weeks,,,,,,,,
LTR-15-UBTR-WH,NEW ARCH 15A RECP USB TR,WHITE,784276154383             ,15,147.00,73.50,2022-07-10,160.00,80.00,Ships in 3-4 weeks,,,,,,,,
LTR-20-TR-AL,NEW ARCH 20A RECP TMP RST,ALMOND,784276154284             ,20,53.00,26.50,2022-07-10,57.00,28.50,Ships in 4-5 weeks,,,,,,,,
LTR-20-TR-BE,NEW ARCH 20A RECP TMP RST,BEIGE,784276154345             ,20,53.00,26.50,2022-07-10,57.00,28.50,Ships in 4-5 weeks,,,,,,,,
LTR-20-TR-BL,NEW ARCH 20A RECP TMP RST,BLACK,784276154338             ,15,52.50,26.25,2022-07-10,56.00,28.00,Ships in 3-4 weeks,,,,,,,,
LTR-20-TR-BR,NEW ARCH 20A RECP TMP RST,BROWN,784276154314             ,20,52.50,26.25,2022-07-10,56.00,28.00,Ships in 4-5 weeks,,,,,,,,
LTR-20-TR-CBL,NEW ARCH 20A RECP TMP RST,CBL GLS,784276239905             ,20,52.50,26.25,2022-07-10,56.00,28.00,Ships in 4-5 weeks,,,,,,,,
LTR-20-TR-CWH,NEW ARCH 20A RECP TMP RST,CWH GLS,784276154376             ,20,53.00,26.50,2022-07-10,57.00,28.50,Ships in 4-5 weeks,,,,,,,,
LTR-20-TR-GR,NEW ARCH 20A RECP TMP RST,GRAY,784276154321             ,20,52.50,26.25,2022-07-10,56.00,28.00,Ships in 4-5 weeks,,,,,,,,
LTR-20-TR-IV,NEW ARCH 20A RECP TMP RST,IVORY,784276154307             ,20,53.00,26.50,2022-07-10,57.00,28.50,Ships in 4-5 weeks,,,,,,,,
LTR-20-TR-LA,NEW ARCH 20A RECP TMP RST,LTALMD,784276154291             ,20,52.50,26.25,2022-07-10,56.00,28.00,Ships in 4-5 weeks,,,,,,,,
LTR-20-TR-SI,NEW ARCH 20A RECP TMP RST,SIENNA,784276154369             ,20,52.50,26.25,2022-07-10,56.00,28.00,Ships in 4-5 weeks,,,,,,,,
LTR-20-TR-TP,NEW ARCH 20A RECP TMP RST,TAUPE,784276154352             ,20,52.50,26.25,2022-07-10,56.00,28.00,Ships in 4-5 weeks,,,,,,,,
LTR-20-TR-WH,NEW ARCH 20A RECP TMP RST,WHITE,784276154277             ,15,52.50,26.25,2022-07-10,56.00,28.00,Ships in 3-4 weeks,,,,,,,,
LTR-F15-TR-AL,NEW ARCH 15A RECP TMP RST,ALMOND W/FP,784276153515             ,20,58.00,29.00,2022-07-10,62.00,31.00,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-BB,NEW ARCH 15A RECP TMP RST,BR BRSS W/FP,784276153638             ,20,96.00,48.00,2022-07-10,105.00,52.50,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-BC,NEW ARCH 15A RECP TMP RST,BR CHRM W/FP,784276153676             ,20,96.00,48.00,2022-07-10,105.00,52.50,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-BE,NEW ARCH 15A RECP TMP RST,BEIGE W/FP,784276153577             ,20,58.00,29.00,2022-07-10,62.00,31.00,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-BL,NEW ARCH 15A RECP TMP RST,BLACK W/FP,784276153560             ,25,58.00,29.00,2022-07-10,62.00,31.00,Ships in 5-6 weeks,,,,,,,,
LTR-F15-TR-BN,NEW ARCH 15A RECP TMP RST,BR NCKL W/FP,784276153683             ,20,96.00,48.00,2022-07-10,105.00,52.50,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-BR,NEW ARCH 15A RECP TMP RST,BROWN W/FP,784276153546             ,20,58.00,29.00,2022-07-10,62.00,31.00,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-CBL,NEW ARCH 15A RECP TMP RST,CBL GLS W/FP,784276239868             ,20,96.00,48.00,2022-07-10,105.00,52.50,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-CWH,NEW ARCH 15A RECP TMP RST,CWH GLS W/FP,784276153607             ,25,96.00,48.00,2022-07-10,105.00,52.50,Ships in 5-6 weeks,,,,,,,,
LTR-F15-TR-GR,NEW ARCH 15A RECP TMP RST,GRAY W/FP,784276153553             ,20,58.00,29.00,2022-07-10,62.00,31.00,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-IV,NEW ARCH 15A RECP TMP RST,IVORY W/FP,784276153539             ,20,58.00,29.00,2022-07-10,62.00,31.00,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-LA,NEW ARCH 15A RECP TMP RST,LTALMD W/FP,784276153522             ,20,58.00,29.00,2022-07-10,62.00,31.00,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-PG,NEW ARCH 15A RECP TMP RST,PLSH GRPH W/FP,784276239851             ,20,96.00,48.00,2022-07-10,105.00,52.50,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-QB,DUPLEX 15A TR RECEPTACLE,QB FP,784276153645             ,20,95.50,47.75,2022-07-10,105.00,52.50,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-QZ,NEW ARCH 15A RECP TMP RST,ANT BRSS W/FP,784276153652             ,25,96.00,48.00,2022-07-10,105.00,52.50,Ships in 5-6 weeks,,,,,,,,
LTR-F15-TR-SB,NEW ARCH 15A RECP TMP RST,STN BRSS W/FP,784276153621             ,20,96.00,48.00,2022-07-10,105.00,52.50,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-SC,NEW ARCH 15A RECP TMP RST,STN CHRM W/FP,784276153669             ,20,96.00,48.00,2022-07-10,105.00,52.50,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-SI,NEW ARCH 15A RECP TMP RST,SIENNA W/FP,784276153591             ,20,58.00,29.00,2022-07-10,62.00,31.00,Ships in 4-5 weeks,,,,,,,,
LTR-F15-TR-SN,NEW ARCH 15A RECP TMP RST,STN NCKL W/FP,784276153614             ,25,96.00,48.00,2022-07-10,105.00,52.50,Ships in 5-6 weeks,,,,,,,,
LTR-F15-TR-TP,NEW ARCH 15A RECP TMP RST,TAUPE W/FP,784276153584             ,25,58.00,29.00,2022-07-10,62.00,31.00,Ships in 5-6 weeks,,,,,,,,
LTR-F15-TR-WH,DUPLEX 15A TR RECEPTACLE,WHITE W/FP,784276153508             ,25,58.00,29.00,2022-07-10,62.00,31.00,Ships in 5-6 weeks,,,,,,,,
LTR-F15-UBTR-AL,NEW ARCH 15A RECP USB TR,ALMOND W/FP,784276153959             ,15,162.00,81.00,2022-07-10,175.00,87.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-BB,NEW ARCH 15A RECP USB TR,BR BRSS W/FP,784276154079             ,15,200.00,100.00,2022-07-10,215.00,107.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-BC,NEW ARCH 15A RECP USB TR,BR CHRM W/FP,784276154116             ,15,200.00,100.00,2022-07-10,215.00,107.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-BE,NEW ARCH 15A RECP USB TR,BEIGE W/FP,784276154017             ,15,162.00,81.00,2022-07-10,175.00,87.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-BL,NEW ARCH 15A RECP USB TR,BLACK W/FP,784276154000             ,15,162.00,81.00,2022-07-10,175.00,87.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-BN,NEW ARCH 15A RECP USB TR,BR NCKL W/FP,784276154123             ,15,200.00,100.00,2022-07-10,215.00,107.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-BR,NEW ARCH 15A RECP USB TR,BROWN W/FP,784276153980             ,15,162.00,81.00,2022-07-10,175.00,87.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-CBL,NEW ARCH 15A RECP USB TR,CBL GLS W/FP,784276239929             ,15,200.00,100.00,2022-07-10,215.00,107.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-CWH,NEW ARCH 15A RECP USB TR,CWH GLS W/FP,784276154048             ,15,200.00,100.00,2022-07-10,215.00,107.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-GR,NEW ARCH 15A RECP USB TR,GRAY W/FP,784276153997             ,25,162.00,81.00,2022-07-10,175.00,87.50,Ships in 5-6 weeks,,,,,,,,
LTR-F15-UBTR-IV,NEW ARCH 15A RECP USB TR,IVORY W/FP,784276153973             ,15,165.00,82.50,2022-07-10,175.00,87.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-LA,NEW ARCH 15A RECP USB TR,LTALMD W/FP,784276153966             ,15,162.00,81.00,2022-07-10,175.00,87.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-PG,NEW ARCH 15A RECP USB TR,PLSH GRPH W/FP,784276239912             ,15,200.00,100.00,2022-07-10,215.00,107.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-SB,NEW ARCH 15A RECP USB TR,STN BRSS W/FP,784276154062             ,15,200.00,100.00,2022-07-10,215.00,107.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-SC,NEW ARCH 15A RECP USB TR,STN CHRM W/FP,784276154109             ,15,200.00,100.00,2022-07-10,215.00,107.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-SI,NEW ARCH 15A RECP USB TR,SIENNA W/FP,784276154031             ,15,162.00,81.00,2022-07-10,175.00,87.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-SN,NEW ARCH 15A RECP USB TR,STN NCKL W/FP,784276154055             ,20,200.00,100.00,2022-07-10,215.00,107.50,Ships in 4-5 weeks,,,,,,,,
LTR-F15-UBTR-TP,NEW ARCH 15A RECP USB TR,TAUPE W/FP,784276154024             ,15,162.00,81.00,2022-07-10,175.00,87.50,Ships in 3-4 weeks,,,,,,,,
LTR-F15-UBTR-WH,NEW ARCH 15A RECP USB TR,WHITE W/FP,784276153942             ,20,162.00,81.00,2022-07-10,175.00,87.50,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-AL,NEW ARCH 20A RECP TMP RST,ALMOND W/FP,784276153737             ,20,67.00,33.50,2022-07-10,72.00,36.00,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-BB,NEW ARCH 20A RECP TMP RST,BR BRSS W/FP,784276153850             ,20,105.00,52.50,2022-07-10,115.00,57.50,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-BC,NEW ARCH 20A RECP TMP RST,BR CHRM W/FP,784276153898             ,20,105.00,52.50,2022-07-10,115.00,57.50,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-BE,NEW ARCH 20A RECP TMP RST,BEIGE W/FP,784276153799             ,20,67.00,33.50,2022-07-10,72.00,36.00,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-BL,NEW ARCH 20A RECP TMP RST,BLACK W/FP,784276153782             ,15,67.00,33.50,2022-07-10,72.00,36.00,Ships in 3-4 weeks,,,,,,,,
LTR-F20-TR-BN,NEW ARCH 20A RECP TMP RST,BR NCKL W/FP,784276153904             ,20,105.00,52.50,2022-07-10,115.00,57.50,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-BR,NEW ARCH 20A RECP TMP RST,BROWN W/FP,784276153768             ,20,67.00,33.50,2022-07-10,72.00,36.00,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-CBL,NEW ARCH 20A RECP TMP RST,CBL GLS W/FP,784276239882             ,20,105.00,52.50,2022-07-10,115.00,57.50,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-CWH,NEW ARCH 20A RECP TMP RST,CWH GLS W/FP,784276153829             ,20,105.00,52.50,2022-07-10,115.00,57.50,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-GR,NEW ARCH 20A RECP TMP RST,GRAY W/FP,784276153775             ,15,67.00,33.50,2022-07-10,72.00,36.00,Ships in 3-4 weeks,,,,,,,,
LTR-F20-TR-IV,NEW ARCH 20A RECP TMP RST,IVORY W/FP,784276153751             ,20,67.00,33.50,2022-07-10,72.00,36.00,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-LA,NEW ARCH 20A RECP TMP RST,LTALMD W/FP,784276153744             ,20,67.00,33.50,2022-07-10,72.00,36.00,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-PG,NEW ARCH 20A RECP TMP RST,PLSH GRPH W/FP,784276239875             ,20,105.00,52.50,2022-07-10,115.00,57.50,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-QB,DUPLEX 20A TR RECEPTACLE,QB FP,784276153867             ,20,105.00,52.50,2022-07-10,115.00,57.50,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-SB,NEW ARCH 20A RECP TMP RST,STN BRSS W/FP,784276153843             ,20,105.00,52.50,2022-07-10,115.00,57.50,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-SC,NEW ARCH 20A RECP TMP RST,STN CHRM W/FP,784276153881             ,20,105.00,52.50,2022-07-10,115.00,57.50,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-SI,NEW ARCH 20A RECP TMP RST,SIENNA W/FP,784276153812             ,20,67.00,33.50,2022-07-10,72.00,36.00,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-SN,NEW ARCH 20A RECP TMP RST,STN NCKL W/FP,784276153836             ,20,105.00,52.50,2022-07-10,115.00,57.50,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-TP,NEW ARCH 20A RECP TMP RST,TAUPE W/FP,784276153805             ,20,67.00,33.50,2022-07-10,72.00,36.00,Ships in 4-5 weeks,,,,,,,,
LTR-F20-TR-WH,NEW ARCH 20A RECP TMP RST,WHITE W/FP,784276153720             ,15,67.00,33.50,2022-07-10,72.00,36.00,Ships in 3-4 weeks,,,,,,,,
LUT-19AV-1U,19 INCH AV RACK 1U HEIGHT,,027557163262             ,5,47.00,23.50,2022-07-10,52.00,26.00,Ships in 1-2 weeks,,,,,,,,
LUT-5X10-ENC,LUT ENCLOSURE 5X10,,027557533980             ,5,47.00,23.50,2022-07-10,52.00,26.00,Ships in 1-2 weeks,,,,,,,,
LUT-8X8-ENC,8 INCH SQUARE ENCLOSURE,WITH DIN RAIL,027557979764             ,20,138.00,69.00,2022-07-10,155.00,77.50,Ships in 4-5 weeks,,,,,,,,
LUT-ELI-3PH,EMERGENCY LIGHTING INTERFACE,3 PHASE DETECTOR,027557067058             ,25,970.00,485.00,2022-07-10,1060.00,530.00, Estimated to ship in 5-6 wks,,,,,,,,
LUT-LBX-WH,SYNTHETIC MINIMUM LOAD 120V,,027557257978             ,5,172.00,86.00,2022-07-10,190.00,95.00,Ships in 1-2 weeks,,,,,,,,
LUT-MLC,MIN LOAD CAP,,027557975353             ,25,10.00,5.00,2022-07-11,10.00,5.00, Estimated to ship in 5-8 wks,,,,,,,,
L-WIRECAGE-C,WIRE CAGE-CEILING SENSOR,WIRE CAGE-CEILING SENSOR-L-WIRECAGE-C,784276092487             ,2,73.00,36.50,2022-07-10,80.00,40.00,Ships in 1-2 weeks,,,,,,,,
L-WIRECAGE-W,WIRE CAGE-WALL SENSOR,WIRE CAGE-WALL SENSOR-L-WIRECAGE-W,784276092494             ,10,73.00,36.50,2022-07-10,80.00,40.00,Ships in 2-3 weeks,,,,,,,,
L-WIRECAGE-WBX,WIRE CAGE-WALLBOX SENSOR,WIRE CAGE-WALLBOX SENSOR-L-WIRECAGE-WBX,784276092517             ,10,73.00,36.50,2022-07-10,80.00,40.00,Ships in 2-3 weeks,,,,,,,,
LWT-G-AL,NEW ARCH WALLPLATE 1GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-G-AL,784276000444,2,16.00,8.00,2022-07-10,17.50,8.75,Ships in 1-2 weeks,,,,,,,,
LWT-G-BB,NEW ARCH WALLPLATE 1GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-G-BB,784276000727,20,125.00,62.50,2022-07-10,140.00,70.00,Ships in 4-5 weeks,,,,,,,,
LWT-G-BC,NEW ARCH WALLPLATE 1GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-G-BC,784276000734,20,125.00,62.50,2022-07-10,140.00,70.00,Ships in 4-5 weeks,,,,,,,,
LWT-G-BE,NEW ARCH WALLPLATE 1GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-G-BE,784276000420,2,16.00,8.00,2022-07-10,17.50,8.75,Ships in 1-2 weeks,,,,,,,,
LWT-G-BL,NEW ARCH WALLPLATE 1GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-G-BL,784276000505,2,16.00,8.00,2022-07-10,17.50,8.75,Ships in 1-2 weeks,,,,,,,,
LWT-G-BN,NEW ARCH WALLPLATE 1GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-G-BN,784276000789,15,125.00,62.50,2022-07-10,140.00,70.00,Ships in 3-4 weeks,,,,,,,,
LWT-G-BR,NEW ARCH WALLPLATE 1GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-G-BR,784276000499,2,16.00,8.00,2022-07-10,17.50,8.75,Ships in 1-2 weeks,,,,,,,,
LWT-G-CBL,NEW ARCH WALLPLATE 1GANG GFK T,CBL GLS,784276153409,20,97.00,48.50,2022-07-10,105.00,52.50,Ships in 4-5 weeks,,,,,,,,
LWT-G-CWH,NEW ARCH WALLPLATE 1GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-G-CWH,784276000703,20,97.00,48.50,2022-07-10,105.00,52.50,Ships in 4-5 weeks,,,,,,,,
LWT-GG-AL,NEW ARCH WALLPLATE 2GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-GG-AL,784276000857,2,36.00,18.00,2022-07-10,39.00,19.50,Ships in 1-2 weeks,,,,,,,,
LWT-GG-BB,NEW ARCH WALLPLATE 2GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-GG-BB,784276001137,20,170.00,85.00,2022-07-10,185.00,92.50,Ships in 4-5 weeks,,,,,,,,
LWT-GG-BC,NEW ARCH WALLPLATE 2GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-GG-BC,784276001144,20,170.00,85.00,2022-07-10,185.00,92.50,Ships in 4-5 weeks,,,,,,,,
LWT-GG-BE,NEW ARCH WALLPLATE 2GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-GG-BE,784276000833,2,36.00,18.00,2022-07-10,39.00,19.50,Ships in 1-2 weeks,,,,,,,,
LWT-GG-BL,NEW ARCH WALLPLATE 2GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-GG-BL,784276000918,2,36.00,18.00,2022-07-10,39.00,19.50,Ships in 1-2 weeks,,,,,,,,
LWT-GG-BN,NEW ARCH WALLPLATE 2GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-GG-BN,784276001199,20,170.00,85.00,2022-07-10,185.00,92.50,Ships in 4-5 weeks,,,,,,,,
LWT-GG-BR,NEW ARCH WALLPLATE 2GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-GG-BR,784276000901,2,36.00,18.00,2022-07-10,39.00,19.50,Ships in 1-2 weeks,,,,,,,,
LWT-GG-CBL,NEW ARCH WALLPLATE 2GANG GFK T,CBL GLS,784276153416,20,125.00,62.50,2022-07-10,140.00,70.00,Ships in 4-5 weeks,,,,,,,,
LWT-GG-CWH,NEW ARCH WALLPLATE 2GANG GFK T,NEW ARCH WP - GRAFIKT-LWT-GG-CWH,784276001113,20,125.00,62.50,2022-07-10,140.00,70.00,Ships in 4-5 weeks,,,,,,,,
