"GREAVES 2022.1 PRICE SCHEDULE Effective January 1, 2022",,,,,,,,
Orders less than $100 incur a $15 Small Order Fee.  Ground freight free to contiguous 48 states.,,,,,,,,
Catalog,Distrib Net,,,    Ctn ,  Trade List,, NAED # ,2021
Number,$/ea,,Description Category,Qty,$/ea,Mult,784491,Cat Page
M14-187                  ,0.0544,,MALE DISCONN,100,0.1209,0.45,16662,16
M14-187N                 ,0.1530,,MALE DISCONN,100,0.3400,0.45,16692,16
M14-187V                 ,0.0972,,MALE DISCONN,100,0.2160,0.45,16682,16
M14-250                  ,0.0772,,MALE DISCONN,100,0.1715,0.45,16664,16
M14-250FN                ,0.1997,,MALE DISCONN FULL,50,0.3994,0.50,16716,17
M14-250HT                ,0.1461,,MALE DISC HI-TEMP,50,0.2921,0.50,16885,18
M14-250N                 ,0.1530,,MALE DISCONN,100,0.3400,0.45,16694,16
M14-250V                 ,0.0992,,MALE DISCONN,100,0.2205,0.45,16684,16
M18-250                  ,0.0544,,MALE DISCONN,100,0.1209,0.45,16660,16
M18-250FN                ,0.2048,,MALE DISCONN FULL,50,0.4096,0.50,16706,17
M18-250N                 ,0.1530,,MALE DISCONN,100,0.3400,0.45,16690,16
M18-250V                 ,0.0992,,MALE DISCONN,100,0.2205,0.45,16680,16
MBKA2-4                  ,8.6195,,METERBOX KIT AL,10,11.8076,0.73,27460,83
MBKC2-4                  ,11.8534,,METERBOX KIT CU,10,16.2376,0.73,27450,83
MMF-250                  ,0.1971,,SPLIT DISCONN,50,0.4381,0.45,16724,17
ND1000R750,49.3664,,CU REDUCING SPLICE,1,67.6252,0.73,52107,38
ND 10R1,15.0566,,CU REDUCING SPLICE,1,20.6255,0.73,52011,38
ND 10R2,14.5040,,CU REDUCING SPLICE,1,19.8685,0.73,52012,38
ND 1250R1000,56.5103,,CU REDUCING SPLICE,1,77.4114,0.73,52121,38
ND 1500R1000,66.3932,,CU REDUCING SPLICE,1,90.9496,0.73,52151,38
ND 1500R1250,68.2032,,CU REDUCING SPLICE,1,93.4290,0.73,52162,38
ND 20R10,15.0566,,CU REDUCING SPLICE,1,20.6255,0.73,52021,38
ND 250R20,21.4877,,CU REDUCING SPLICE,1,29.4352,0.73,52252,38
ND 250R40,19.3814,,CU REDUCING SPLICE,1,26.5498,0.73,52254,38
ND 300R250,23.5459,,CU REDUCING SPLICE,1,32.2547,0.73,52302,38
ND 30R20,17.0267,,CU REDUCING SPLICE,1,23.3243,0.73,52032,38
ND 350R250,24.7786,,CU REDUCING SPLICE,1,33.9433,0.73,52352,38
ND 350R40,25.5242,,CU REDUCING SPLICE,1,34.9646,0.73,52354,38
ND 400R350,25.6042,,CU REDUCING SPLICE,1,35.0743,0.73,52403,38
ND 40R20,21.4877,,CU REDUCING SPLICE,1,29.4352,0.73,52042,38
ND 40R30,19.3814,,CU REDUCING SPLICE,1,26.5498,0.73,52043,38
ND 500R250,33.4289,,CU REDUCING SPLICE,1,45.7930,0.73,52502,38
ND 500R350,31.3707,,CU REDUCING SPLICE,1,42.9735,0.73,52503,38
ND 500R400,33.5090,,CU REDUCING SPLICE,1,45.9027,0.73,52504,38
ND 600R350,34.2699,,CU REDUCING SPLICE,1,46.9450,0.73,52635,38
ND 600R500,31.0743,,CU REDUCING SPLICE,1,42.5675,0.73,52650,38
ND 750R500,37.0008,,CU REDUCING SPLICE,1,50.6860,0.73,52755,38
ND 750R600,37.1290,,CU REDUCING SPLICE,1,50.8616,0.73,52756,38
PA1000,215.0003,,U-TYPE DIE,1,294.5210,0.73,,0
PAC20X                   ,4.6241,,AL PARALLEL CLAMP,20,7.1140,0.65,15211,51
PAC4010                  ,3.8179,,AL PARALLEL CLAMP,25,5.8737,0.65,15101,51
PAC4010X                 ,4.4565,,AL PARALLEL CLAMP,20,6.8561,0.65,15111,51
PAC4040                  ,5.0764,,AL PARALLEL CLAMP,20,7.8099,0.65,15102,51
PAC4040X                 ,6.0839,,AL PARALLEL CLAMP,10,9.3599,0.65,15112,51
PAC40X                   ,6.1945,,AL PARALLEL CLAMP,10,9.5300,0.65,15212,51
PBS 2                    ,9.2486,,INSULATED SPLICE,12,15.4143,0.60,13701,60
PBS 2/0                  ,10.6309,,INSULATED SPLICE,6,17.7182,0.60,13703,60
PBS 2/0C,10.6309,,INSULATED SPLICE,6,17.7182,0.60,13203,0
PBS 250                  ,15.7654,,INSULATED SPLICE,6,26.2756,0.60,13704,60
PBS 250C,15.7654,,INSULATED SPLICE,6,26.2756,0.60,13204,0
PBS 2C,9.2486,,INSULATED SPLICE,12,15.4143,0.60,13201,0
PBS 350                  ,19.9810,,INSULATED SPLICE,4,33.3017,0.60,13706,60
PBS 350C,19.9810,,INSULATED SPLICE,4,33.3017,0.60,13206,0
PBS 600                  ,26.6596,,INSULATED SPLICE,3,44.4326,0.60,13709,60
PBS 600C,26.6596,,INSULATED SPLICE,3,44.4326,0.60,13209,0
PBSH 750                 ,49.3409,,INSULATED SPLICE,1,82.2348,0.60,13715,60
PC1000,215.0003,,U-TYPE DIE,1,294.5210,0.73,60620,0
PC1250,215.0003,,U-TYPE DIE,1,294.5210,0.73,60622,0
PC1500,215.0003,,U-TYPE DIE,1,294.5210,0.73,60625,0
PD-250-4,13.7426,,AL NEUTRAL BAR,6,21.1425,0.65,13500,59
PD-250-6,19.4310,,AL NEUTRAL BAR,6,29.8938,0.65,13505,59
PD-250-8,25.9352,,AL NEUTRAL BAR,6,39.9003,0.65,13510,59
PD-350-4,17.7178,,AL NEUTRAL BAR,3,27.2582,0.65,13515,59
PD-350-6,25.3792,,AL NEUTRAL BAR,3,39.0449,0.65,13520,59
PD-350-8,33.7594,,AL NEUTRAL BAR,3,51.9376,0.65,13525,59
PD-600-4,22.9759,,AL NEUTRAL BAR,3,35.3476,0.65,13542,59
PD-600-6,32.0463,,AL NEUTRAL BAR,3,49.3020,0.65,13543,59
PD-600-8,42.5183,,AL NEUTRAL BAR,3,65.4127,0.65,13544,59
PD-750-4,28.3084,,AL NEUTRAL BAR,2,43.5514,0.65,13545,59
PD-750-6,43.8458,,AL NEUTRAL BAR,2,67.4550,0.65,13550,59
PD-750-8,56.9282,,AL NEUTRAL BAR,1,87.5819,0.65,13555,59
PT1                      ,11.0643,,AL-CU PIN ADAPTER,10,17.0220,0.65,51900,41
PT1/0,12.3384,,AL-CU PIN ADAPTER,10,18.9822,0.65,51908,41
PT1000R750               ,54.3720,,CU STEP-DOWN ADAPT,1,74.4822,0.73,54107,29
PT10R2                   ,15.8014,,CU STEP-DOWN ADAPT,1,21.6458,0.73,54102,29
PT111FX10                ,16.6824,,CU FLEX ADAPT,1,22.8526,0.73,55111,31
PT131FX20                ,21.8001,,CU FLEX ADAPT,1,29.8631,0.73,55131,31
PT181FX30                ,25.6042,,CU FLEX ADAPT,1,35.0743,0.73,55181,31
PT2                      ,9.4552,,AL-CU PIN ADAPTER,25,14.5465,0.65,51902,41
PT2/0,15.1307,,AL-CU PIN ADAPTER,10,23.2780,0.65,51910,41
PT20R10                  ,18.0600,,CU STEP-DOWN ADAPT,1,24.7397,0.73,54210,29
PT20R2                   ,18.0600,,CU STEP-DOWN ADAPT,1,24.7397,0.73,54202,29
PT222FX40                ,31.9793,,CU FLEX ADAPT,1,43.8073,0.73,55222,31
PT250                    ,18.9703,,AL-CU PIN ADAPTER,10,29.1850,0.65,51916,41
PT250FX250               ,33.2206,,CU FLEX ADAPT,1,45.5077,0.73,55250,31
PT250R40                 ,23.4099,,CU STEP-DOWN ADAPT,1,32.0683,0.73,54254,29
PT25FX6                  ,16.1183,,CU FLEX ADAPT,1,22.0798,0.73,54236,31
PT262FX250               ,35.7995,,CU FLEX ADAPT,1,49.0404,0.73,55262,31
PT3/0,15.3912,,AL-CU PIN ADAPTER,10,23.6788,0.65,51912,41
PT300                    ,19.7379,,AL-CU PIN ADAPTER,10,30.3660,0.65,51918,41
PT300R250                ,25.8926,,CU STEP-DOWN ADAPT,1,35.4693,0.73,54305,29
PT30R20                  ,19.6297,,CU STEP-DOWN ADAPT,1,26.8900,0.73,54320,29
PT313FX350               ,36.8647,,CU FLEX ADAPT,1,50.4996,0.73,55313,31
PT350                    ,19.7160,,AL-CU PIN ADAPTER,10,30.3323,0.65,51920,41
PT350R250                ,27.8788,,CU STEP-DOWN ADAPT,1,38.1901,0.73,54355,29
PT350R300                ,28.9840,,CU STEP-DOWN ADAPT,1,39.7041,0.73,54353,29
PT373FX350               ,36.8647,,CU FLEX ADAPT,1,50.4996,0.73,55373,31
PT4                      ,9.4939,,AL-CU PIN ADAPTER,25,14.6060,0.65,51904,41
PT4/0,15.6774,,AL-CU PIN ADAPTER,10,24.1190,0.65,51914,41
PT400                    ,26.4050,,AL-CU PIN ADAPTER,10,40.6230,0.65,51922,41
PT400R350                ,30.9621,,CU STEP-DOWN ADAPT,1,42.4139,0.73,54435,29
PT40R20                  ,21.0552,,CU STEP-DOWN ADAPT,1,28.8428,0.73,54420,29
PT40R30                  ,21.6559,,CU STEP-DOWN ADAPT,1,29.6656,0.73,54430,29
PT42FX4                  ,16.6824,,CU FLEX ADAPT,1,22.8526,0.73,55424,31
PT444FX500               ,51.2886,,CU FLEX ADAPT,1,70.2583,0.73,55444,31
PT500                    ,31.5705,,AL-CU PIN ADAPTER,10,48.5700,0.65,51924,41
PT500R350                ,34.0536,,CU STEP-DOWN ADAPT,1,46.6487,0.73,54535,29
PT500R400                ,35.1107,,CU STEP-DOWN ADAPT,1,48.0969,0.73,54540,29
PT535FX500               ,51.2886,,CU FLEX ADAPT,1,70.2583,0.73,55535,31
PT6                      ,8.3316,,AL-CU PIN ADAPTER,25,12.8178,0.65,51906,41
PT600                    ,35.8118,,AL-CU PIN ADAPTER,3,55.0950,0.65,51926,41
PT600R500                ,37.0409,,CU STEP-DOWN ADAPT,1,50.7409,0.73,54650,29
PT60FX2                  ,16.6824,,CU FLEX ADAPT,1,22.8526,0.73,55602,31
PT646FX600               ,56.3502,,CU FLEX ADAPT,1,77.1920,0.73,55646,31
PT750                    ,38.4813,,AL-CU PIN ADAPTER,3,59.2020,0.65,51928,41
PT750R500                ,40.7809,,CU STEP-DOWN ADAPT,1,55.8643,0.73,54750,29
PT750R600                ,41.0696,,CU STEP-DOWN ADAPT,1,56.2597,0.73,54760,29
PT777FX750               ,61.4198,,CU FLEX ADAPT,1,84.1367,0.73,55777,31
PT90FX1                  ,16.6824,,CU FLEX ADAPT,1,22.8526,0.73,55901,31
PTA1                     ,9.4552,,AL-AL PIN ADAPTER,10,14.5465,0.65,51963,41
PTA10                    ,9.8885,,AL-AL PIN ADAPTER,"10",15.2131,0.65,51964,41
PTA2                     ,9.1267,,AL-AL PIN ADAPTER,10,14.0410,0.65,51962,41
PTA20                    ,12.6034,,AL-AL PIN ADAPTER,10,19.3898,0.65,51965,41
PTA250                   ,15.8152,,AL-AL PIN ADAPTER,10,24.3310,0.65,51968,41
PTA30                    ,13.9920,,AL-AL PIN ADAPTER,10,21.5262,0.65,51966,41
PTA300                   ,15.9530,,AL-AL PIN ADAPTER,10,24.5430,0.65,51969,41
PTA350                   ,18.9740,,AL-AL PIN ADAPTER,10,29.1907,0.65,51970,41
PTA4                     ,8.4482,,AL-AL PIN ADAPTER,10,12.9972,0.65,51961,41
PTA40                    ,14.4160,,AL-AL PIN ADAPTER,10,22.1785,0.65,51967,41
PTA400                   ,22.5674,,AL-AL PIN ADAPTER,10,34.7190,0.65,51971,41
PTA500                   ,25.9610,,AL-AL PIN ADAPTER,10,39.9400,0.65,51972,41
PTA6                     ,9.4582,,AL-AL PIN ADAPTER,10,14.5510,0.65,51960,41
PTA600                   ,28.1035,,AL-AL PIN ADAPTER,3,43.2361,0.65,51973,41
PTA750                   ,29.7967,,AL-AL PIN ADAPTER,3,45.8410,0.65,51974,41
PTN10,0.3710,,PIN TERMINAL NYLON,50,0.8244,0.45,56110,15
PTN14,0.1802,,PIN TERMINAL NYLON,100,0.4004,0.45,56114,15
PTN18,0.1547,,PIN TERMINAL NYLON,100,0.3437,0.45,56118,15
PTO20,12.6007,,AL-AL OFFSET PIN ADAP,10,19.3857,0.65,51940,41
PTO250,15.8152,,AL-AL OFFSET PIN ADAP,10,24.3310,0.65,51946,41
PTO30,13.9920,,AL-AL OFFSET PIN ADAP,10,21.5261,0.65,51942,41
PTO300,15.9530,,AL-AL OFFSET PIN ADAP,10,24.5430,0.65,51948,41
PTO350,19.9102,,AL-AL OFFSET PIN ADAP,10,30.6310,0.65,51950,41
PTO40,14.4160,,AL-AL OFFSET PIN ADAP,10,22.1785,0.65,51944,41
PTO400,22.4752,,AL-AL OFFSET PIN ADAP,10,34.5772,0.65,51952,41
PTO500,25.9610,,AL-AL OFFSET PIN ADAP,10,39.9400,0.65,51954,41
PTO600,28.1035,,AL-AL OFFSET PIN ADAP,3,43.2361,0.65,51956,41
PTO750,29.7967,,AL-AL OFFSET PIN ADAP,3,45.8410,0.65,51958,41
PTV10,0.2120,,PIN TERMINAL VINYL,50,0.4711,0.45,56010,15
PTV14,0.1060,,PIN TERMINAL VINYL,100,0.2355,0.45,56014,15
PTV18,0.1007,,PIN TERMINAL VINYL,100,0.2238,0.45,56018,15
PUAD,360.0002,,P TO U DIE ADAPTER,1,493.1510,0.73,60660,0
PWS2                     ,0.6254,,USA PORT PLUG,12,1.0423,0.60,13722,63
PWS2/0                   ,0.6583,,USA PORT PLUG,12,1.0971,0.60,13720,63
PWS250                   ,0.6912,,USA PORT PLUG,6,1.1520,0.60,13725,63
PWS350                   ,0.8228,,USA PORT PLUG,6,1.3714,0.60,13735,63
PWS4                     ,0.5596,,USA PORT PLUG,12,0.9326,0.60,13724,63
PWS600                   ,1.1191,,USA PORT PLUG,6,1.8651,0.60,13760,63
PWP750                   ,1.6457,,USA PORT PLUG,3,2.7428,0.60,13775,63
PSP750                   ,1.6457,,USA PORT PLUG,3,2.7428,0.60,13776,63
R100,31.9584,,SPLICE COVER,1,43.7786,0.73,80215,69
R20,6.4687,,SPLICE COVER,1,8.8612,0.73,80200,69
R35,10.3614,,SPLICE COVER,1,14.1937,0.73,80205,69
R 50,13.0359,,SPLICE COVER,1,17.8574,0.73,80210,69
R100-S,24.3800,,SPLICE COVER,1,33.3972,0.73,80216,
R10-10                   ,0.0991,,RING TERM,50,0.2203,0.45,16050,12
R10-10HT                 ,0.2134,,RING HI-TEMP,50,0.4267,0.50,16823,18
R10-10N                  ,0.2772,,RING TERM,50,0.6161,0.45,16250,13
R10-10V                  ,0.1520,,RING TERM,50,0.3378,0.45,16150,12
R10-14                   ,0.1089,,RING TERM,50,0.2419,0.45,16054,12
R10-14HT                 ,0.2299,,RING HI-TEMP,50,0.4598,0.50,16824,18
R10-14N                  ,0.3060,,RING TERM,50,0.6801,0.45,16254,13
R10-14V                  ,0.1854,,RING TERM,50,0.4119,0.45,16154,12
R10-38                   ,0.1366,,RING TERM,50,0.3035,0.45,16058,12
R10-38HT                 ,0.2910,,RING HI-TEMP,50,0.5820,0.50,16825,18
R10-38N                  ,0.3060,,RING TERM,50,0.6801,0.45,16258,13
R10-38V                  ,0.2059,,RING TERM,50,0.4575,0.45,16158,12
R10-48                   ,0.2316,,RING TERM,25,0.5146,0.45,16060,12
R10-56                   ,0.1366,,RING TERM,50,0.3035,0.45,16056,12
R10-56N                  ,0.3060,,RING TERM,50,0.6801,0.45,16256,13
R10-56V                  ,0.2059,,RING TERM,50,0.4575,0.45,16156,12
R10-6                    ,0.0991,,RING TERM,50,0.2203,0.45,16046,12
R10-6HT                  ,0.2134,,RING HI-TEMP,50,0.4267,0.50,16821,18
R10-6N                   ,0.2772,,RING TERM,50,0.6161,0.45,16246,13
R10-6V                   ,0.1520,,RING TERM,50,0.3378,0.45,16146,12
R10-8                    ,0.0991,,RING TERM,50,0.2203,0.45,16048,12
R10-8HT                  ,0.2134,,RING HI-TEMP,50,0.4267,0.50,16822,18
R10-8N                   ,0.2772,,RING TERM,50,0.6161,0.45,16248,13
R10-8V                   ,0.1520,,RING TERM,50,0.3378,0.45,16148,12
R14-10                   ,0.0606,,RING TERM,100,0.1346,0.45,16030,12
R14-10HT                 ,0.1313,,RING HI-TEMP,50,0.2625,0.50,16813,18
R14-10N                  ,0.2034,,RING TERM,100,0.4519,0.45,16230,13
R14-10V                  ,0.1027,,RING TERM,100,0.2282,0.45,16130,12
R14-14                   ,0.0842,,RING TERM,100,0.1871,0.45,16034,12
R14-14HT                 ,0.1432,,RING HI-TEMP,50,0.2864,0.50,16814,18
R14-14N                  ,0.2034,,RING TERM,100,0.4519,0.45,16234,13
R14-14V                  ,0.1243,,RING TERM,100,0.2762,0.45,16124,12
R14-38V                  ,0.1838,,RING TERM,100,0.4084,0.45,16138,12
R14-56                   ,0.0842,,RING TERM,100,0.1871,0.45,16036,12
R14-56N                  ,0.2034,,RING TERM,100,0.4519,0.45,16236,13
R14-56V                  ,0.1243,,RING TERM,100,0.2762,0.45,16136,12
R14-6                    ,0.0606,,RING TERM,100,0.1346,0.45,16026,12
R14-6HT                  ,0.1313,,RING HI-TEMP,50,0.2625,0.50,16811,18
R14-6N                   ,0.1823,,RING TERM,100,0.4050,0.45,16226,13
R14-6V                   ,0.1027,,RING TERM,100,0.2282,0.45,16126,12
R14-8                    ,0.0606,,RING TERM,100,0.1346,0.45,16028,12
R14-8N                   ,0.1823,,RING TERM,100,0.4050,0.45,16228,13
R14-8V                   ,0.1027,,RING TERM,100,0.2282,0.45,16128,12
R18-10                   ,0.0544,,RING TERM,100,0.1209,0.45,16010,12
R18-10HT                 ,0.1164,,RING HI-TEMP,50,0.2327,0.50,16803,18
R18-10N                  ,0.1530,,RING TERM,100,0.3400,0.45,16210,13
R18-10V                  ,0.0919,,RING TERM,100,0.2043,0.45,16110,12
R18-14                   ,0.0683,,RING TERM,100,0.1518,0.45,16014,12
R18-14N                  ,0.1910,,RING TERM,100,0.4244,0.45,16214,13
R18-14V                  ,0.1155,,RING TERM,100,0.2567,0.45,16114,12
R18-4V                   ,0.0919,,RING TERM,100,0.2043,0.45,16104,12
R18-6                    ,0.0544,,RING TERM,100,0.1209,0.45,16006,12
R18-6N                   ,0.1530,,RING TERM,100,0.3400,0.45,16206,13
R18-6V                   ,0.0919,,RING TERM,100,0.2043,0.45,16106,12
R18-8                    ,0.0544,,RING TERM,100,0.1209,0.45,16008,12
R18-8N                   ,0.1530,,RING TERM,100,0.3400,0.45,16208,13
R18-8V                   ,0.0919,,RING TERM,100,0.2043,0.45,16108,12
R4-14N                   ,1.0142,,RING TERM,10,2.2537,0.45,16264,13
R4-38N                   ,1.0142,,RING TERM,10,2.2537,0.45,16268,13
R4-48N                   ,1.2521,,RING TERM,10,2.7825,0.45,16269,13
R4-56N                   ,1.0142,,RING TERM,10,2.2537,0.45,16266,13
R6-10V                   ,0.5402,,RING TERM,25,1.2005,0.45,16180,12
R6-14                    ,0.3858,,RING TERM,25,0.8574,0.45,16084,12
R6-14V                   ,0.5402,,RING TERM,25,1.2005,0.45,16184,12
R6-38                    ,0.4630,,RING TERM,25,1.0289,0.45,16088,12
R6-38V                   ,0.5586,,RING TERM,25,1.2414,0.45,16188,12
R6-48                    ,0.6062,,RING TERM,25,1.3471,0.45,16089,12
R6-48V                   ,0.8996,,RING TERM,25,1.9990,0.45,16189,12
R6-56V                   ,0.5586,,RING TERM,25,1.2414,0.45,16186,12
R8-10HT                  ,0.3857,,RING HI-TEMP,25,0.7713,0.50,16833,18
R8-10V                   ,0.4103,,RING TERM,25,0.9117,0.45,16160,12
R8-14                    ,0.2756,,RING TERM,25,0.6125,0.45,16064,12
R8-14HT                  ,0.3880,,RING HI-TEMP,25,0.7759,0.50,16834,18
R8-14V                   ,0.4103,,RING TERM,25,0.9117,0.45,16164,12
R8-38                    ,0.2756,,RING TERM,25,0.6125,0.45,16068,12
R8-38V                   ,0.4339,,RING TERM,25,0.9642,0.45,16168,12
S10-10                   ,0.1089,,FORK TERM,50,0.2419,0.45,16375,14
S10-10HT                 ,0.2505,,FORK HI-TEMP,50,0.5009,0.50,16854,18
S10-10N                  ,0.2783,,FORK TERM,50,0.6184,0.45,16575,14
S10-10V                  ,0.1525,,FORK TERM,50,0.3389,0.45,16475,14
S10-14                   ,0.1089,,FORK TERM,50,0.2419,0.45,16381,14
S10-14N                  ,0.2783,,FORK TERM,50,0.6184,0.45,16581,14
S10-14V                  ,0.1843,,FORK TERM,50,0.4096,0.45,16481,14
S10-6                    ,0.1089,,FORK TERM,50,0.2419,0.45,16365,14
S10-6N                   ,0.2777,,FORK TERM,50,0.6172,0.45,16565,14
S10-6V                   ,0.1525,,FORK TERM,50,0.3389,0.45,16465,14
S10-8                    ,0.1089,,FORK TERM,50,0.2419,0.45,16371,14
S10-8N                   ,0.2783,,FORK TERM,50,0.6184,0.45,16571,14
S10-8V                   ,0.1525,,FORK TERM,50,0.3389,0.45,16471,14
S14-10                   ,0.0897,,FORK TERM,100,0.1993,0.45,16345,14
S14-10N                  ,0.1910,,FORK TERM,100,0.4244,0.45,16562,14
S14-10V                  ,0.1278,,FORK TERM,100,0.2841,0.45,16445,14
S14-14                   ,0.0846,,FORK TERM,100,0.1881,0.45,16351,14
S14-14N                  ,0.1992,,FORK TERM,100,0.4427,0.45,16563,14
S14-14V                  ,0.1278,,FORK TERM,100,0.2841,0.45,16451,14
S14-4V                   ,0.1089,,FORK TERM,100,0.2419,0.45,16431,14
S14-6                    ,0.0642,,FORK TERM,100,0.1426,0.45,16335,14
S14-6HT                  ,0.2094,,FORK HI-TEMP,100,0.4187,0.50,16841,18
S14-6N                   ,0.1910,,FORK TERM,100,0.4244,0.45,16535,14
S14-6V                   ,0.1089,,FORK TERM,100,0.2419,0.45,16435,14
S14-8                    ,0.0642,,FORK TERM,100,0.1426,0.45,16341,14
S14-8HT                  ,0.2094,,FORK HI-TEMP,100,0.4187,0.50,16842,18
S14-8N                   ,0.1910,,FORK TERM,100,0.4244,0.45,16541,14
S14-8V                   ,0.1089,,FORK TERM,100,0.2419,0.45,16441,14
S18-10                   ,0.0683,,FORK TERM,100,0.1518,0.45,16315,14
S18-10N                  ,0.1787,,FORK TERM,100,0.3971,0.45,16515,14
S18-10V                  ,0.1084,,FORK TERM,100,0.2408,0.45,16415,14
S18-14                   ,0.0683,,FORK TERM,100,0.1518,0.45,16321,14
S18-14N                  ,0.1787,,FORK TERM,100,0.3971,0.45,16521,14
S18-14V                  ,0.1084,,FORK TERM,100,0.2408,0.45,16421,14
S18-4                    ,0.0544,,FORK TERM,100,0.1209,0.45,16301,14
S18-4N                   ,0.1700,,FORK TERM,100,0.3777,0.45,16501,14
S18-4V                   ,0.0882,,FORK TERM,100,0.1959,0.45,16401,14
S18-6                    ,0.0544,,FORK TERM,100,0.1209,0.45,16305,14
S18-6N                   ,0.1700,,FORK TERM,100,0.3777,0.45,16505,14
S18-6V                   ,0.0882,,FORK TERM,100,0.1959,0.45,16405,14
S18-8                    ,0.0661,,FORK TERM,100,0.1469,0.45,16311,14
S18-8N                   ,0.1700,,FORK TERM,100,0.3777,0.45,16511,14
S18-8V                   ,0.0882,,FORK TERM,100,0.1959,0.45,16411,14
SB 0,0.3331,,BRONZE BOLT,100,0.4758,0.70,71400,124
SB 00,0.3634,,BRONZE BOLT,100,0.5191,0.70,71405,124
SB 000,0.3954,,BRONZE BOLT,100,0.5648,0.70,71410,124
SB 01,0.4497,,BRONZE BOLT,100,0.6424,0.70,71415,124
SB 02,0.5143,,BRONZE BOLT,100,0.7347,0.70,71420,124
SB 03,0.5703,,BRONZE BOLT,100,0.8147,0.70,71425,124
SB 05,0.6861,,BRONZE BOLT,100,0.9801,0.70,71430,124
SB 07,0.8027,,BRONZE BOLT,50,1.1467,0.70,71435,124
SB 09,0.9225,,BRONZE BOLT,50,1.3178,0.70,71440,124
SB 11,3.6404,,BRONZE BOLT,25,5.2006,0.70,71685,125
SB 110,6.7721,,BRONZE BOLT,15,9.6744,0.70,71735,125
SB 111,7.1187,,BRONZE BOLT,15,10.1696,0.70,71740,125
SB 12,3.9918,,BRONZE BOLT,25,5.7026,0.70,71690,125
SB 13,4.3353,,BRONZE BOLT,25,6.1933,0.70,71700,125
SB 14,4.6843,,BRONZE BOLT,25,6.6919,0.70,71705,125
SB 15,5.0325,,BRONZE BOLT,25,7.1893,0.70,71710,125
SB 16,5.3815,,BRONZE BOLT,25,7.6879,0.70,71715,125
SB 17,5.7290,,BRONZE BOLT,25,8.1843,0.70,71720,125
SB 18,6.0764,,BRONZE BOLT,25,8.6806,0.70,71725,125
SB 19,6.4238,,BRONZE BOLT,15,9.1769,0.70,71730,125
SB 300,1.9194,,BRONZE BOLT,100,2.7420,0.70,71605,124
SB 31,2.0263,,BRONZE BOLT,50,2.8947,0.70,71610,124
SB 310,4.0118,,BRONZE BOLT,25,5.7312,0.70,71655,124
SB 311,4.2291,,BRONZE BOLT,25,6.0415,0.70,71660,124
SB 312,4.4535,,BRONZE BOLT,25,6.3622,0.70,71665,124
SB 313,4.6715,,BRONZE BOLT,15,6.6736,0.70,71670,124
SB 315,5.1085,,BRONZE BOLT,15,7.2978,0.70,71675,124
SB 317,5.5460,,BRONZE BOLT,15,7.9229,0.70,71680,124
SB 32,2.2595,,BRONZE BOLT,50,3.2278,0.70,71615,124
SB 33,2.4760,,BRONZE BOLT,50,3.5371,0.70,71620,124
SB 34,2.6940,,BRONZE BOLT,50,3.8486,0.70,71625,124
SB 35,2.9392,,BRONZE BOLT,50,4.1988,0.70,71630,124
SB 36,3.1325,,BRONZE BOLT,50,4.4750,0.70,71635,124
SB 37,3.3521,,BRONZE BOLT,50,4.7887,0.70,71640,124
SB 38,4.3482,,BRONZE BOLT,50,6.2117,0.70,71645,124
SB 39,3.7906,,BRONZE BOLT,25,5.4151,0.70,71650,124
SB 6,0.8578,,BRONZE BOLT,100,1.2254,0.70,71525,124
SB 60,0.9193,,BRONZE BOLT,100,1.3133,0.70,71530,124
SB 600,0.9752,,BRONZE BOLT,100,1.3931,0.70,71535,124
SB 61,1.0926,,BRONZE BOLT,50,1.5609,0.70,71540,124
SB 610,2.1509,,BRONZE BOLT,25,3.0727,0.70,71585,124
SB 611,2.2714,,BRONZE BOLT,25,3.2449,0.70,71590,124
SB 612,2.5063,,BRONZE BOLT,15,3.5804,0.70,71595,124
SB 613,2.7434,,BRONZE BOLT,15,3.9192,0.70,71600,124
SB 62,1.2109,,BRONZE BOLT,50,1.7298,0.70,71545,124
SB 63,1.3290,,BRONZE BOLT,50,1.8985,0.70,71550,124
SB 64,1.4440,,BRONZE BOLT,50,2.0629,0.70,71555,124
SB 65,1.5638,,BRONZE BOLT,50,2.2340,0.70,71560,124
SB 66,1.6789,,BRONZE BOLT,50,2.3984,0.70,71565,124
SB 67,1.7995,,BRONZE BOLT,50,2.5707,0.70,71570,124
SB 68,1.9185,,BRONZE BOLT,50,2.7407,0.70,71575,124
SB 69,2.0383,,BRONZE BOLT,25,2.9118,0.70,71580,124
SB 8,0.6094,,BRONZE BOLT,100,0.8706,0.70,71445,124
SB 80,0.6518,,BRONZE BOLT,100,0.9311,0.70,71450,124
SB 800,0.6964,,BRONZE BOLT,100,0.9949,0.70,71455,124
SB 81,0.7844,,BRONZE BOLT,50,1.1205,0.70,71460,124
SB 82,0.8650,,BRONZE BOLT,50,1.2357,0.70,71465,124
SB 83,0.9544,,BRONZE BOLT,50,1.3634,0.70,71500,124
SB 84,1.0399,,BRONZE BOLT,50,1.4856,0.70,71505,124
SB 85,1.1262,,BRONZE BOLT,50,1.6088,0.70,71510,124
SB 87,1.2963,,BRONZE BOLT,50,1.8518,0.70,71515,124
SB 89,1.4712,,BRONZE BOLT,25,2.1017,0.70,71520,124
SC1                      ,3.1229,,CU COMPR SPLICE,50,6.2458,0.50,51800,22
