Manufacturer,UPC,Catalog Number,Description,Carton QTY,Unit Measure, List Price , Net Price ,Special Net Price,Special Net Price 2,Special Net Price 3
A&G,,557,"2 1/2"" EMT/RIGID STEEL ONE HOLE STRAP",25,C, $192.28 , $96.14 ,,,
A&G,,558,"3"" EMT /RIGID STEEL ONE HOLE STRAP",25,C, $229.10 , $114.55 ,,,
A&G,,559,"3 1/2"" EMT /RIGID  STEEL ONE HOLE STRAP",20,C, $355.92 , $177.96 ,,,
A&G,,560,"4"" EMT/RIGID STEEL ONE HOLE STRAP",20,C, $409.12 , $204.56 ,,,
A&G,,575,"3/8 A/C 1/4"" RIGID ONE HOLE STEELSTRAP",100,C, $8.36 , $4.18 ,,,
A&G,,576,"1/2"" EMT STEEL ONE HOLE STRAP HEAVY DUTY",100,C, $12.42 , $6.21 ,,,
A&G,,577,"1/2"" EMT STEEL ONE HOLE STRAP ",100,C, $8.86 , $4.43 ,,,
A&G,,578,"3/4"" EMT STEEL ONE HOLE STRAP",100,C, $18.02 , $9.01 ,,,
A&G,,579,"1"" EMT STEEL ONE HOLE STRAP",100,C, $27.18 , $13.59 ,,,
A&G,,580,"1 1/4"" EMT STEEL ONE HOLE STRAP",50,C, $51.22 , $25.61 ,,,
A&G,,581,"1 1/2"" EMT STEEL ONE HOLE STRAP",50,C, $61.12 , $30.56 ,,,
A&G,,582,"2"" EMT STEEL ONE HOLE STRAP",50,C, $72.02 , $36.01 ,,,
A&G,,601,"1/2""  EMT 2 HOLE STRAP",100,C, $10.10 , $5.05 ,,,
A&G,,602,"3/4"" EMT 2 HOLE STRAP",100,C, $12.98 , $6.49 ,,,
A&G,,603,"1"" EMT 2 HOLE STRAP",50,C, $17.48 , $8.74 ,,,
A&G,,604,"1 1/4"" EMT 2 HOLE SRAP",50,C, $29.06 , $14.53 ,,,
A&G,,605,"1 1/2"" EMT 2 HOLE STRAP",50,C, $30.98 , $15.49 ,,,
A&G,,606,"2 "" EMT 2 HOLE STRAP",50,C, $51.98 , $25.99 ,,,
A&G,,626,"1/2"" RIGID 2 HOLE STRAP",100,C, $12.50 , $6.25 ,,,
A&G,,627,"3/4"" RIGID 2 HOLE STRAP",100,C, $16.04 , $8.02 ,,,
A&G,,628,"1"" RIGID 2 HOLE STRAP",50,C, $24.80 , $12.40 ,,,
A&G,,629,"1 1/4"" RIGID 2 HOLE STRAP",50,C, $30.64 , $15.32 ,,,
A&G,,630,"1 1/2"" RIGID 2 HOLE STRAP",50,C, $50.00 , $25.00 ,,,
A&G,,631,"2"" RIGID 2 HOLE STRAP",50,C, $78.00 , $39.00 ,,,
A&G,,632,2 1/2 EMT/RIGID 2 HOLE STRAP,25,C, $108.00 , $54.00 ,,,
A&G,,633,"3"" EMT/RIGID 2 HOLE STRAP",25,C, $157.50 , $78.75 ,,,
A&G,,634,"3 1/2"" EMT /RIGID 2 HOLE STRAP",25,C, $176.00 , $88.00 ,,,
A&G,,635,"4 "" EMT /RIGID 2 HOLE STRAP",25,C, $190.88 , $95.44 ,,,
A&G,,636,"5"" EMT / RIGID 2 HOLE STRAP",5,C," $1,753.40 ", $876.70 ,,,
A&G,,637,"6"" EMT / RIGID 2 HOLE STRAP",5,C," $1,992.40 ", $996.20 ,,,
A&G,,641,4 11/16 BLANK COVER,100,C, $128.00 , $64.00 ,,,
A&G,,642,"4"" SQ BLANK COVER",100,C, $92.00 , $46.00 ,,,
A&G,,643,"4"" OCT BLANK COVER",100,C, $72.00 , $36.00 ,,,
A&G,,644,"4""  SQ 1 TOGGLE SW CVR",50,C, $195.60 , $97.80 ,,,
A&G,,645,"4""  SQ 2 TOGGLE CVR",50,C, $195.60 , $97.80 ,,,
A&G,,646,"4"" SQ 1 TOGGLE 1 DUPLEX CVR",50,C, $195.60 , $97.80 ,,,
A&G,,647,"4"" SQ 1 DUPLEX CVR",50,C, $195.60 , $97.80 ,,,
A&G,,648,"4"" SQ 2 DUPLEX CVR",50,C, $195.60 , $97.80 ,,,
A&G,,649,"4"" SQ 30-50 AMP RECPT CVR",50,C, $218.30 , $109.15 ,,,
A&G,,650,"4"" SQ 1 GFCI/DECORA CVR",50,C, $195.60 , $97.80 ,,,
A&G,,651,"4"" SQ 2 GFCI/DECORA CVR",50,C, $209.10 , $104.55 ,,,
A&G,,652,"4"" SQ 1 SINGLE RECTP 1 13/32 "" DIA REC CVR",50,C, $209.10 , $104.55 ,,,
A&G,,653,"4""SQ 2 SINGLE REC 1 13/32"" DIA REC CVR",50,C, $209.10 , $104.55 ,,,
A&G,,654,"4"" SQ 20AMP REC 1 19/32"" DIA REC CVR",50,C, $209.10 , $104.55 ,,,
A&G,,656,"4"" SQ 1 TOGGLE  1 GFCI/DECORA CVR",50,C, $209.10 , $104.55 ,,,
A&G,,657,"4"" SQ 1 DUPLEX 1 GFCI/DECORA CVR",50,C, $209.10 , $104.55 ,,,
A&G,,658,"4"" SQ 1 TOGGLE 1 SINGLE RECP 1 13/32"" DIS REC CVR",50,C, $209.10 , $104.55 ,,,
A&G,,659,"4"" SQ 1 DUPLEX 1 SINGLE RECP 1 13/32"" DIA REC CVR",50,C, $209.10 , $104.55 ,,,
A&G,,660,"4"" SQ 30-60 AMP REC 2 7/16"" DIA",50,C, $209.10 , $104.55 ,,,
A&G,,663,"4"" ROUND SWIVEL HANGER 1/2-3/4"" PIPE",25,C," $1,600.00 ", $800.00 ,,,
A&G,,664,"4"" ROUND SWIVEL HANGER ""HANDS FREE""",25,C," $3,000.00 "," $1,500.00 ",,,
A&G,,665,"4""SQ SWIVEL HANGER 1/2""-3/4""",25,C," $1,730.00 ", $865.00 ,,,
A&G,,666,"4""SQ SWIVEL HANGER ""HANDS FREE""",25,C," $2,800.00 "," $1,400.00 ",,,
A&G,,667,"5"" ROUND BLANK-UP CANAOPIES SCREW HOLES 2 3/4""CC",50,C, $297.00 , $148.50 ,,,
A&G,,668,"5"" ROUND BLANK-UP CANOPIES SCREW HOLES 3-1/2""CC",50,C, $297.00 , $148.50 ,,,
A&G,,680,HANDY BOX BLANK COVER,50,C, $58.46 , $29.23 ,,,
A&G,,681,"HANDY BOX BLANK W/ 1/2"" KO",50,C, $58.46 , $29.23 ,,,
A&G,,682,DUPLEX HANDY BOX COVER,50,C, $58.46 , $29.23 ,,,
A&G,,683,TOGGLE HANDY BOX COVER,50,C, $58.46 , $29.23 ,,,
A&G,,684,GFCI/DECORA HANDY BOX COVER,50,C, $96.00 , $48.00 ,,,
A&G,,685,SINGLE RECP 1.4 DIA HANDY BOX COVER,50,C, $96.00 , $48.00 ,,,
A&G,,686,POWER OUTLET 1.6 DIA HANDY BOX COVER,50,C, $96.00 , $48.00 ,,,
A&G,,700,"4""SQ FLAT 1 DEVICE",50,C, $150.00 , $75.00 ,,,
A&G,,701,"4""SQ 1/4"" RAISED 1 DEVICE",50,C, $144.16 , $72.08 ,,,
A&G,,702,"4"" SQ 1/2"" RAISED 1 DEVICE",50,C, $121.80 , $60.90 ,,,
A&G,,703,"4"" SQ 5/8"" RAISED 1 DEVICE",50,C, $121.80 , $60.90 ,,,
A&G,,704,"4"" SQ 3/4"" RAISED 1DEVICE",50,C, $130.42 , $65.21 ,,,
A&G,,705,"4"" SQ 1 "" RAISED 1 DEVICE",25,C, $157.88 , $78.94 ,,,
A&G,,706,"4"" SQ 1 1/4"" RAISED 1 DEVICE",25,C, $203.00 , $101.50 ,,,
A&G,,707,"4"" SQ 1 1/2"" RAISED 1 DEVICE",25,C, $295.20 , $147.60 ,,,
A&G,,708,"4"" SQ 2"" RAISED 1 DEVICE",25,C, $388.08 , $194.04 ,,,
A&G,,710,"4"" SQ FLAT 2 DEVICE",50,C, $171.60 , $85.80 ,,,
A&G,,711,"4"" SQ 1 /4"" RAISED 2 DEVICE",50,C, $156.00 , $78.00 ,,,
A&G,,712,"4"" SQ 1/2"" RAISED 2 DEVICE",50,C, $129.60 , $64.80 ,,,
A&G,,713,"4""SQ 5/8"" RAISED 2 DEVICE",50,C, $139.20 , $69.60 ,,,
A&G,,714,"4""SQ 3/4"" RAISED 2 DEVICE",50,C, $151.20 , $75.60 ,,,
A&G,,715,"4"" SQ 1"" RAISED 2 DEVICE",25,C, $345.60 , $172.80 ,,,
A&G,,716,"4"" SQ 1 1/4"" RAISED 2 DEVICE",25,C, $374.40 , $187.20 ,,,
A&G,,717,"4"" SQ 1 1/2"" RAISED 2 DEVICE",25,C, $436.80 , $218.40 ,,,
A&G,,718,"4"" SQ 2"" RAISED 2 DEVICE",25,C, $499.20 , $249.60 ,,,
A&G,,725,"0-B 1/2"" STAINLESS CONDUIT HANGER",100,C, $299.88 , $149.94 ,,,
A&G,,726,"1-B 3/4"" STAINLESS CONDUIT HANGER",50,C, $359.84 , $179.92 ,,,
A&G,,727,"2-B 1"" STAINLESS CONDUIT HANGER",50,C, $425.04 , $212.52 ,,,
A&G,,728,"2 -1/2-B 1 1/4""EMT STAINLESS CONDUIT HANGER",25,C, $438.34 , $219.17 ,,,
A&G,,729,"3-B  1 1/4"" RIGID 1 1/2"" EMT STAINLESS CONDUIT HANGER",25,C, $448.96 , $224.48 ,,,
A&G,,730,4-B 1-1/2 RIGID STAINLESS CONDUIT HANGER,25,C, $690.70 , $345.35 ,,,
A&G,,731,"5-B 2"" STAINLESS CONDUIT HANGER",25,C, $876.66 , $438.33 ,,,
A&G,,732,"6-B 2 1/2"" STAINLESS CONDUIT HANGER",25,C, $982.92 , $491.46 ,,,
A&G,,733,"7-B 3"" STAINLESS CONDUIT HANGER",25,C," $1,150.76 ", $575.38 ,,,
A&G,,734,"8-B 3 1/2"" STAINLESS CONDUIT HANGER",20,C," $1,269.82 ", $634.91 ,,,
A&G,,735,"9-B 4"" STAINLESS CONDUIT HANGER",20,C," $1,700.16 ", $850.08 ,,,
A&G,,800,4 11/16 FLAT 1 DEVICE,50,C, $290.00 , $145.00 ,,,
A&G,,801,"4 11/16  1 /4"" RAISED 1 DEVICE",50,C, $300.00 , $150.00 ,,,
A&G,,802,"4 11/16   1 /2"" RAISED 1 DEVICE",50,C, $182.16 , $91.08 ,,,
A&G,,803,"4 11/16   5/8"" RAISED 1 DEVICE",50,C, $270.58 , $135.29 ,,,
A&G,,804,"4 11/16   3/4"" RAISED 1 DEVICE",50,C, $273.04 , $136.52 ,,,
A&G,,805,"4 11/16   1 "" RAISED 1 DEVICE",25,C, $296.20 , $148.10 ,,,
A&G,,806,"4 11/16   1 -1/4"" RAISED 1 DEVICE",25,C, $362.46 , $181.23 ,,,
A&G,,807,"4 11/16   1- 1/2 ""RAISED 1 DEVICE",25,C, $627.60 , $313.80 ,,,
A&G,,808,"4 11/16    2"" RAISED 1 DEVICE",25,C, $641.12 , $320.56 ,,,
A&G,,810,4 11/16  FLAT 2 DEVICE,50,C, $340.90 , $170.45 ,,,
A&G,,811,"4 11/16  1/4"" RAISED 2 DEVICE",50,C, $358.36 , $179.18 ,,,
A&G,,812,"4 11/16  1/2"" RAISED 2 DEVICE",50,C, $256.40 , $128.20 ,,,
A&G,,813,"4 11/16  5/8"" RAISED 2 DEVICE",50,C, $309.24 , $154.62 ,,,
A&G,,814,"4 11/16  3/4"" RAISED 2 DEVICE",50,C, $330.00 , $165.00 ,,,
A&G,,815,"4 11/16  1"" RAISED 2 DEVICE",25,C, $375.00 , $187.50 ,,,
A&G,,816,"4 11/16  1-1/4"" RAISED 2 DEVICE",25,C, $488.40 , $244.20 ,,,
A&G,,817,"4 11/16 1-1/2"" RAISED 2 DEVICE",25,C, $518.40 , $259.20 ,,,
A&G,,818,"4 11/16 2"" RAISED 2 DEVICE",25,C, $748.80 , $374.40 ,,,
A&G,,851,"1/2"" 3 PIECE MALLEABLE IRON RIGID COUPLING",100,C, $403.20 , $201.60 ,,,
A&G,,852,"3/4"" 3 PIECE MALLEABLE IRON RIGID COUPLING",100,C, $482.00 , $241.00 ,,,
A&G,,853,"1"" 3 PIECE MALLEABLE IRON RIGID COUPLING",50,C, $727.66 , $363.83 ,,,
A&G,,854,"1-1/4"": 3 PIECE MALLEABLE IRON RIGID COUPLING",25,C," $1,433.26 ", $716.63 ,,,
A&G,,855,"1-1/2"" 3 PIECE MALLEABLE IRON RIGID COUPLING",25,C," $1,543.50 ", $771.75 ,,,
A&G,,856,"2"" 3 PIECE MALLEABLE IRON RIGID COUPLING",10,C," $2,310.00 "," $1,155.00 ",,,
A&G,,857,"2-1/2"" 3 PIECE MALLEABLE IRON RIGID COUPLING",10,C," $4,410.00 "," $2,205.00 ",,,
A&G,,858,"3"" 3 PIECE MALLEBLE IRON RIGID COUPLING",10,C," $6,300.00 "," $3,150.00 ",,,
A&G,,859,"3-1/2"" 3 PIECE MALLEABLE IRON RIGID COUPLING",5,C," $8,820.00 "," $4,410.00 ",,,
A&G,,860,"4"" 3 PIECE MALLEABLE IRON RIGID COUPLING",5,C," $10,920.00 "," $5,460.00 ",,,
A&G,,861,"5"" 3 PIECE MALLEABLE IRON RIGID COUPLING",5,C," $15,750.00 "," $7,875.00 ",,,
A&G,,863,"1/2""  M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT", 50/250,C, $357.00 , $178.50 ,,,
A&G,,864,"3/4"" M.I. COMPRESSION CONNECTOR THREADLESS CONDUIT", 50/250,C, $463.06 , $231.53 ,,,
A&G,,865,"1"" M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT",40,C, $639.46 , $319.73 ,,,
A&G,,866,"1-1/4"" M.I. COMPRESSION CONNECTOR THREADLESS CONDUIT",30,C," $1,121.40 ", $560.70 ,,,
A&G,,867,"1-1/2"" M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT",20,C," $1,533.00 ", $766.50 ,,,
A&G,,868,"2"" M.I. COMPRESSION CONNECTOR THREADLESS CONDUIT",15,C," $2,310.00 "," $1,155.00 ",,,
A&G,,869,"2-1/2"" M.I. COMPRESSION CONNECTOR THREADLESS CONDUIT",15,C," $8,114.40 "," $4,057.20 ",,,
A&G,,870,"3"" M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT",15,C," $10,332.00 "," $5,166.00 ",,,
A&G,,871,"3-1/2"" M .I. COMPRESSION CONNECTOR THREADLESS CONDUIT",10,C," $13,545.00 "," $6,772.50 ",,,
A&G,,872,"4""  M.I. COMPRESSION CONNECTOR THREADLESS CONDUIT",10,C," $19,076.40 "," $9,538.20 ",,,
A&G,,873,"5"" M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT",5,C," $36,634.00 "," $18,317.00 ",,,
A&G,,874,"6"" M. I. COMPRESSION CONNECTOR THREADLESS CONDUIT",2,C," $44,800.00 "," $22,400.00 ",,,
A&G,,875,"1/2"" M. I. COMPRESSION COUPLING THREADLESS CONDUIT",50.25,C, $493.50 , $246.75 ,,,
A&G,,876,"3/4"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT", 25/125,C, $562.80 , $281.40 ,,,
A&G,,877,"1"" M .I. COMPRESSION COUPLING THREADLESS CONDUIT",50,C, $945.00 , $472.50 ,,,
A&G,,878,"1-1/4"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT",25,C," $1,575.00 ", $787.50 ,,,
A&G,,879,"1-1/2"" M. I. COMPRESSION COUPLING THREADLESS CONDUIT",20,C," $2,142.00 "," $1,071.00 ",,,
A&G,,880,"2"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT",10,C," $3,150.00 "," $1,575.00 ",,,
A&G,,881,"2-1/2"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT",10,C," $11,676.00 "," $5,838.00 ",,,
A&G,,882,"3"" M. I. COMPRESSION COUPLING THREADLESS CONDUIT",10,C," $12,075.00 "," $6,037.50 ",,,
A&G,,883,"3-1/2"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT",6,C," $15,498.00 "," $7,749.00 ",,,
A&G,,884,"4"" M.I. COMPRESSION COUPLING THREADLESS CONDUIT",5,C," $19,800.00 "," $9,900.00 ",,,
A&G,,885,"5"" M. I. COMPRESSION COUPLING THREADLESS CONDUIT",2,C," $42,240.00 "," $21,120.00 ",,,
A&G,,886,"6"" M. I. COMPRESSION COUPLING THREADLESS CONDUIT",2,C," $51,040.00 "," $25,520.00 ",,,
A&G,,887,"1/2"" M.I. SET SCREW CONNECTOR THREADLESS CONDUIT", 50/250,C, $240.00 , $120.00 ,,,
